Date,Match,Result,Score,Competition
08 Sep 2018,Finland v Hungary,W,"
1-0
",UEFA Nations League
11 Sep 2018,Finland v Estonia,W,"
1-0
",UEFA Nations League
12 Oct 2018,Estonia v Finland,W,"
0-1
",UEFA Nations League
15 Oct 2018,Finland v Greece,W,"
2-0
",UEFA Nations League
15 Nov 2018,Greece v Finland,L,"
1-0
",UEFA Nations League
18 Nov 2018,Hungary v Finland,L,"
2-0
",UEFA Nations League
08 Jan 2019,Finland v Sweden,W,"
1-0
",International Friendly
11 Jan 2019,Estonia v Finland,L,"
2-1
",International Friendly
23 Mar 2019,Italy v Finland,L,"
2-0
",UEFA European Championship
26 Mar 2019,Armenia v Finland,W,"
0-2
",UEFA European Championship
08 Jun 2019,Finland v Bosnia and Herzegovina,W,"
2-0
",UEFA European Championship
11 Jun 2019,Liechtenstein v Finland,W,"
0-2
",UEFA European Championship
05 Sep 2019,Finland v Greece,W,"
1-0
",UEFA European Championship
08 Sep 2019,Finland v Italy,L,"
1-2
",UEFA European Championship
12 Oct 2019,Bosnia and Herzegovina v Finland,L,"
4-1
",UEFA European Championship
15 Oct 2019,Finland v Armenia,W,"
3-0
",UEFA European Championship
15 Nov 2019,Finland v Liechtenstein,W,"
3-0
",UEFA European Championship
18 Nov 2019,Greece v Finland,L,"
2-1
",UEFA European Championship
03 Sep 2020,Finland v Wales,L,"
0-1
",UEFA Nations League
06 Sep 2020,Republic of Ireland v Finland,W,"
0-1
",UEFA Nations League
07 Oct 2020,Poland v Finland,L,"
5-1
",International Friendly
11 Oct 2020,Finland v Bulgaria,W,"
2-0
",UEFA Nations League
14 Oct 2020,Finland v Republic of Ireland,W,"
1-0
",UEFA Nations League
11 Nov 2020,France v Finland,W,"
0-2
",International Friendly
15 Nov 2020,Bulgaria v Finland,W,"
1-2
",UEFA Nations League
18 Nov 2020,Wales v Finland,L,"
3-1
",UEFA Nations League
24 Mar 2021,Finland v Bosnia and Herzegovina,D,"
2-2
",FIFA World Cup
28 Mar 2021,Ukraine v Finland,D,"
1-1
",FIFA World Cup
31 Mar 2021,Switzerland v Finland,L,"
3-2
",International Friendly
29 May 2021,Sweden v Finland,L,"
2-0
",International Friendly
06 Sep 2018,Netherlands v Peru,W,"
2-1
",International Friendly
09 Sep 2018,France v Netherlands,L,"
2-1
",UEFA Nations League
13 Oct 2018,Netherlands v Germany,W,"
3-0
",UEFA Nations League
16 Oct 2018,Belgium v Netherlands,D,"
1-1
",International Friendly
16 Nov 2018,Netherlands v France,W,"
2-0
",UEFA Nations League
19 Nov 2018,Germany v Netherlands,D,"
2-2
",UEFA Nations League
21 Mar 2019,Netherlands v Belarus,W,"
4-0
",UEFA European Championship
24 Mar 2019,Netherlands v Germany,L,"
2-3
",UEFA European Championship
06 Jun 2019,England v Netherlands,W,"
1-3
",UEFA Nations League
09 Jun 2019,Portugal v Netherlands,L,"
1-0
",UEFA Nations League
06 Sep 2019,Germany v Netherlands,W,"
2-4
",UEFA European Championship
09 Sep 2019,Estonia v Netherlands,W,"
0-4
",UEFA European Championship
10 Oct 2019,Netherlands v Northern Ireland,W,"
3-1
",UEFA European Championship
13 Oct 2019,Belarus v Netherlands,W,"
1-2
",UEFA European Championship
16 Nov 2019,Northern Ireland v Netherlands,D,"
0-0
",UEFA European Championship
19 Nov 2019,Netherlands v Estonia,W,"
5-0
",UEFA European Championship
04 Sep 2020,Netherlands v Poland,W,"
1-0
",UEFA Nations League
07 Sep 2020,Netherlands v Italy,L,"
0-1
",UEFA Nations League
07 Oct 2020,Netherlands v Mexico,L,"
0-1
",International Friendly
11 Oct 2020,Bosnia and Herzegovina v Netherlands,D,"
0-0
",UEFA Nations League
14 Oct 2020,Italy v Netherlands,D,"
1-1
",UEFA Nations League
11 Nov 2020,Netherlands v Spain,D,"
1-1
",International Friendly
15 Nov 2020,Netherlands v Bosnia and Herzegovina,W,"
3-1
",UEFA Nations League
18 Nov 2020,Poland v Netherlands,W,"
1-2
",UEFA Nations League
24 Mar 2021,Turkey v Netherlands,L,"
4-2
",FIFA World Cup
27 Mar 2021,Netherlands v Latvia,W,"
2-0
",FIFA World Cup
30 Mar 2021,Gibraltar v Netherlands,W,"
0-7
",FIFA World Cup
06 Sep 2018,Austria v Sweden,W,"
2-0
",International Friendly
11 Sep 2018,Bosnia and Herzegovina v Austria,L,"
1-0
",UEFA Nations League
12 Oct 2018,Austria v Northern Ireland,W,"
1-0
",UEFA Nations League
16 Oct 2018,Denmark v Austria,L,"
2-0
",International Friendly
15 Nov 2018,Austria v Bosnia and Herzegovina,D,"
0-0
",UEFA Nations League
18 Nov 2018,Northern Ireland v Austria,W,"
1-2
",UEFA Nations League
21 Mar 2019,Austria v Poland,L,"
0-1
",UEFA European Championship
24 Mar 2019,Israel v Austria,L,"
4-2
",UEFA European Championship
07 Jun 2019,Austria v Slovenia,W,"
1-0
",UEFA European Championship
10 Jun 2019,North Macedonia v Austria,W,"
1-4
",UEFA European Championship
06 Sep 2019,Austria v Latvia,W,"
6-0
",UEFA European Championship
09 Sep 2019,Poland v Austria,D,"
0-0
",UEFA European Championship
10 Oct 2019,Austria v Israel,W,"
3-1
",UEFA European Championship
13 Oct 2019,Slovenia v Austria,W,"
0-1
",UEFA European Championship
16 Nov 2019,Austria v North Macedonia,W,"
2-1
",UEFA European Championship
19 Nov 2019,Latvia v Austria,L,"
1-0
",UEFA European Championship
04 Sep 2020,Norway v Austria,W,"
1-2
",UEFA Nations League
07 Sep 2020,Austria v Romania,L,"
2-3
",UEFA Nations League
07 Oct 2020,Austria v Greece,W,"
2-1
",International Friendly
11 Oct 2020,Northern Ireland v Austria,W,"
0-1
",UEFA Nations League
14 Oct 2020,Romania v Austria,W,"
0-1
",UEFA Nations League
11 Nov 2020,Luxembourg v Austria,W,"
0-3
",International Friendly
15 Nov 2020,Austria v Northern Ireland,W,"
2-1
",UEFA Nations League
18 Nov 2020,Austria v Norway,D,"
1-1
",UEFA Nations League
25 Mar 2021,Scotland v Austria,D,"
2-2
",FIFA World Cup
28 Mar 2021,Austria v Faroe Islands,W,"
3-1
",FIFA World Cup
31 Mar 2021,Austria v Denmark,L,"
0-4
",FIFA World Cup
06 Sep 2018,Czech Republic v Ukraine,W,"
1-2
",UEFA Nations League
09 Sep 2018,Ukraine v Slovakia,W,"
1-0
",UEFA Nations League
10 Oct 2018,Italy v Ukraine,D,"
1-1
",International Friendly
16 Oct 2018,Ukraine v Czech Republic,W,"
1-0
",UEFA Nations League
16 Nov 2018,Slovakia v Ukraine,L,"
4-1
",UEFA Nations League
20 Nov 2018,Turkey v Ukraine,D,"
0-0
",International Friendly
22 Mar 2019,Portugal v Ukraine,D,"
0-0
",UEFA European Championship
25 Mar 2019,Luxembourg v Ukraine,W,"
1-2
",UEFA European Championship
07 Jun 2019,Ukraine v Serbia,W,"
5-0
",UEFA European Championship
10 Jun 2019,Ukraine v Luxembourg,W,"
1-0
",UEFA European Championship
07 Sep 2019,Lithuania v Ukraine,W,"
0-3
",UEFA European Championship
10 Sep 2019,Ukraine v Nigeria,D,"
2-2
",International Friendly
11 Oct 2019,Ukraine v Lithuania,W,"
2-0
",UEFA European Championship
14 Oct 2019,Ukraine v Portugal,W,"
2-1
",UEFA European Championship
14 Nov 2019,Ukraine v Estonia,W,"
1-0
",International Friendly
17 Nov 2019,Serbia v Ukraine,D,"
2-2
",UEFA European Championship
03 Sep 2020,Ukraine v Switzerland,W,"
2-1
",UEFA Nations League
06 Sep 2020,Spain v Ukraine,L,"
4-0
",UEFA Nations League
07 Oct 2020,France v Ukraine,L,"
7-1
",International Friendly
10 Oct 2020,Ukraine v Germany,L,"
1-2
",UEFA Nations League
13 Oct 2020,Ukraine v Spain,W,"
1-0
",UEFA Nations League
11 Nov 2020,Poland v Ukraine,L,"
2-0
",International Friendly
14 Nov 2020,Germany v Ukraine,L,"
3-1
",UEFA Nations League
17 Nov 2020,Switzerland v Ukraine,L,"
3-0
",UEFA Nations League
24 Mar 2021,France v Ukraine,D,"
1-1
",FIFA World Cup
28 Mar 2021,Ukraine v Finland,D,"
1-1
",FIFA World Cup
31 Mar 2021,Ukraine v Kazakhstan,D,"
1-1
",FIFA World Cup
23 May 2021,Ukraine v Bahrain,D,"
1-1
",International Friendly
06 Sep 2018,Gibraltar v North Macedonia,W,"
0-2
",UEFA Nations League
09 Sep 2018,North Macedonia v Armenia,W,"
2-0
",UEFA Nations League
13 Oct 2018,North Macedonia v Liechtenstein,W,"
4-1
",UEFA Nations League
16 Oct 2018,Armenia v North Macedonia,L,"
4-0
",UEFA Nations League
16 Nov 2018,Liechtenstein v North Macedonia,W,"
0-2
",UEFA Nations League
19 Nov 2018,North Macedonia v Gibraltar,W,"
4-0
",UEFA Nations League
21 Mar 2019,North Macedonia v Latvia,W,"
3-1
",UEFA European Championship
24 Mar 2019,Slovenia v North Macedonia,D,"
1-1
",UEFA European Championship
07 Jun 2019,North Macedonia v Poland,L,"
0-1
",UEFA European Championship
10 Jun 2019,North Macedonia v Austria,L,"
1-4
",UEFA European Championship
05 Sep 2019,Israel v North Macedonia,D,"
1-1
",UEFA European Championship
09 Sep 2019,Latvia v North Macedonia,W,"
0-2
",UEFA European Championship
10 Oct 2019,North Macedonia v Slovenia,W,"
2-1
",UEFA European Championship
13 Oct 2019,Poland v North Macedonia,L,"
2-0
",UEFA European Championship
16 Nov 2019,Austria v North Macedonia,L,"
2-1
",UEFA European Championship
19 Nov 2019,North Macedonia v Israel,W,"
1-0
",UEFA European Championship
05 Sep 2020,North Macedonia v Armenia,W,"
2-1
",UEFA Nations League
08 Sep 2020,Georgia v North Macedonia,D,"
1-1
",UEFA Nations League
08 Oct 2020,North Macedonia v Kosovo,W,"
2-1
",UEFA European Championship
11 Oct 2020,Estonia v North Macedonia,D,"
3-3
",UEFA Nations League
14 Oct 2020,North Macedonia v Georgia,D,"
1-1
",UEFA Nations League
12 Nov 2020,Georgia v North Macedonia,W,"
0-1
",UEFA European Championship
15 Nov 2020,North Macedonia v Estonia,W,"
2-1
",UEFA Nations League
